"subject","object","probability"
"cirrhochrista spinuella","insect","1"
"kakulu saggiaktok","artist","1"
"the fiancée of belus","artwork","1"
"lothar-günther buchheim","writer","1"
"bornerbroek","village","1"
"victor g. atiyeh","office holder","1"
"hamra church, gotland","historic building","1"
"cm postcode area","administrative region","1"
"henry clay folger","person","1"
"peter wright (police officer)","person","1"
"2015 aff women's championship","soccer tournoment","1"
"vitamin a receptor","protein","1"
"germaine mason","athlete","1"
"pamela tola","person","1"
"lucknow–gorakhpur line","railway line","1"
"the patriot (1938 film)","movie","1"
"midnight man (album)","album","1"
"george burns (first baseman)","baseball player","1"
"john nevill, 10th baron bergavenny","noble","1"
"hugh murdac","cleric","1"
"andrew wilkinson (canadian politician)","office holder","1"
"fukui railway fukubu line","railway line","1"
"luis marín (footballer, born 1974)","soccer manager","1"
"1500 louisiana street","building","1"
"stachyneura","insect","1"
"walter c. carter","office holder","1"
"walter c. carter","politician","1"
"george mungwa","soccer manager","1"
"dirty windows","album","1"
"kfax","radio station","1"
"countess ina marie von bassewitz","person","1"
"countess ina marie von bassewitz","royalty","1"
"wczz","radio station","1"
"rafael villicaña garcía","person","1"
"sin control","album","1"
"aleksandr kabakov","person","1"
"fred anderson (montana politician)","politician","1"
"inkpen common","settlement","1"
"survival film","music genre","1"
"bhim singh (wrestler)","athlete","1"
"glinsk, county mayo","town","1"
"don juan demercado","television show","1"
"leadtek","company","1"
"nasser hassan al-shaikh","person","1"
"janata party (secular)","political party","1"
"marnie andrews","person","1"
"brownsboro high school (texas)","school","1"
"norah jeruto","athlete","1"
"detroit house of correction","prison","1"
"fc naţional","soccer club","1"
"yayoi watanabe","person","1"
"deuveotrechus","insect","1"
"sakkin barricade","album","1"
"secret well","movie","1"
"lejla (hari mata hari song)","song","1"
"alex job racing","soccer club","1"
"pantaleón valmonte","politician","1"
"bracken county, kentucky","settlement","1"
"bracken county, kentucky","administrative region","1"
"raipur–bilaspur expressway","road","1"
"farid nabiyev","soccer player","1"
"racket-tailed treepie","insect","1"
"uss r-6 (ss-83)","ship","1"
"yeranis lee","soccer player","1"
"amar bakshi","person","1"
"zacorisca aquamarina","insect","1"
"dave j. browne","person","1"
"linked data","music genre","1"
"saphenista frangula","insect","1"
"joe miller (second baseman)","baseball player","1"
"the cottage schools","historic place","1"
"polska nowa wieś","village","1"
"heping xiqiao station","station","1"
"ouled abbes","town","1"
"ike brown (canadian football)","soccer player","1"
"manuel sanchez (american guitarist)","musical artist","1"
"barracas central","soccer club","1"
"charlie pickett (pitcher)","baseball player","1"
"protagonistas de nuestra tele (season 2)","television season","1"
"cotton, staffordshire","settlement","1"
"bánh mì verlag","record label","1"
"hey boy (teddybears song)","single","1"
"hey boy (teddybears song)","song","1"
"nene park","venue","1"
"cross-country skiing at the 1972 winter olympics – women's 10 kilometre","olympic event","1"
"don't (billy currington song)","single","1"
"don't (billy currington song)","song","1"
"supreme ruler 1936","video game","1"
"david wachs","person","1"
"sven van beek","soccer player","1"
"joseph walton (footballer)","soccer player","1"
"e. lloyd sheldon","person","1"
"e. lloyd sheldon","screenwriter","1"
"jacob holmes","office holder","1"
"anselm von rothschild","person","1"
"hrachya kochar","writer","1"
"the nest (album)","album","1"
"adachi-odai station","station","1"
"chris mccullough","basketball player","1"
"an wang","person","1"
"an wang","scientist","1"
"list of neighbours characters (2018)","soap character","1"
"cafe astoria","restaurant","1"
"emily's quest","book","1"
"sorico","settlement","1"
"randy druz","tennis player","1"
"gtb nagar monorail station","station","1"
"wania monteiro","gymnast","1"
"thomas hood (australian politician)","politician","1"
"freelancer (video game)","video game","1"
"columbus east high school","school","1"
"rms umbria","ship","1"
"gert iskov","chess player","1"
"o passo do lui","album","1"
"at the night side","album","1"
"ben carter (basketball)","basketball player","1"
"battle for cebu city","military conflict","1"
"père lachaise (paris métro)","station","1"
"krasnoramenye","village","1"
"flavonol-3-o-beta-glucoside o-malonyltransferase","enzyme","1"
"2008 african women's championship qualification","soccer tournoment","1"
"mladen banović","scientist","1"
"azar v. garza","supreme court of the united states case","1"
"antoine dénériaz","skier","1"
"guwanç rejepow","soccer player","1"
"yung berg","musical artist","1"
"vrieskraal","settlement","1"
"marhy","musical artist","1"
"innocent muchaneka","soccer player","1"
"xylocrius agassizi","insect","1"
"l-fucose isomerase","enzyme","1"
"binod pradhan","person","1"
"harmondsworth","settlement","1"
"fujiidera station","station","1"
"skellefteå kraft arena","venue","1"
"tawatwong na chiang mai","politician","1"
"mark weinberger","person","1"
"bradley williams","cricketer","1"
"peristygis","insect","1"
"vertelka","settlement","1"
"tomás attis","soccer player","1"
"taltopia","website","1"
"paul caddis","soccer player","1"
"bashqurtaran","village","1"
"john russell hind","scientist","1"
"the aluminum association","company","1"
"nevada state route 398","road","1"
"korea joongang daily","newspaper","1"
"the o.c.","television show","1"
"utah state route 74","road","1"
"825 naval air squadron","military unit","1"
"pak seung-zin","soccer player","1"
"shadowman (comics)","comics character","1"
"steve abana","office holder","1"
"steve abana","politician","1"
"the young shepherdess","artwork","1"
"leggia","settlement","1"
"parkdale collegiate institute","school","1"
"victor mucha","athlete","1"
"balje, lower saxony","settlement","1"
"bob crowley (survivor contestant)","person","1"
"festival cinema e ambiente avezzano","film festival","1"
"thomas d. sharkey","scientist","1"
"paracelsus medical university","university","1"
"infinite rider on the big dogma","album","1"
"the haircut","movie","1"
"patrick j. keeling","scientist","1"
"sit down, you're rockin' the boat","musical artist","1"
"leviathan: the last defense","anime","1"
"allerton bywater colliery explosion","settlement","1"
"top rank","company","1"
"stella maris church, montevideo","religious building","1"
"de herdgang","venue","1"
"ebenezer, queensland","settlement","1"
"frances talbot, countess of morley","person","1"
"poundmaker 114","settlement","1"
"robert e. cushman jr.","military person","1"
"robert e. cushman jr.","politician","1"
"richard whichello","tennis player","1"
"clarence page","person","1"
"aunet","village","1"
"jennings randolph","time period","1"
"jennings randolph","politician","1"
"vejce ambush","military conflict","1"
"karunakara tondaiman","military person","1"
"victor skumin","scientist","1"
"steenwijksmoer","village","1"
"los golpes bajos","movie","1"
"west end, florida","settlement","1"
"55 (album)","album","1"
"xu aihui","athlete","1"
"samuel loric","soccer player","1"
"hague conference on private international law","organisation","1"
"sir thomas hardy, 1st baronet","military person","1"
"aristelliger","insect","1"
"coup de grâce (mink deville album)","album","1"
"arab encyclopedia","book","1"
"slobodan dimitrijević","person","1"
"dobrociesz","village","1"
"kollam thulasi","person","1"
"william grierson (footballer)","soccer player","1"
"bonito (album)","album","1"
"schmittwasser","river","1"
"matías garafulic","rugby player","1"
"josephine dibble murphy","person","1"
"antonio maura y montaner","office holder","1"
"jaakko niemi","athlete","1"
"philippe higonet","military person","1"
"kingsbury oil terminal","building","1"
"sony bank","bank","1"
"kashinath (actor)","person","1"
"2/4th pioneer battalion (australia)","military unit","1"
"biernaty średnie","village","1"
"schizo deluxe","album","1"
"ron mayes","rugby player","1"
"l'anse indian reservation","settlement","1"
"karl, prince of leiningen (1898–1946)","royalty","1"
"colonial heights high school","school","1"
"destination x","wrestling event","1"
"margaret poisal","person","1"
"thomas stevens (weaver)","person","1"
"fl studio","software","1"
"deca loših muzičara","musical artist","1"
"deca loših muzičara","band","1"
"brain capers","album","1"
"underneath acoustic","album","1"
"die kassierer","band","1"
"philippe bergmans","sailor","1"
"anna herr clise","person","1"
"dan teran","person","1"
"ang tanging ina n'yong lahat","movie","1"
"john dickey (canadian politician)","person","1"
"john dickey (canadian politician)","member of parliament","1"
"association for applied psychophysiology and biofeedback","organisation","1"
"cape sastrugi","place","1"
"1804 vermont gubernatorial election","election","1"
"sorrell hiperlight","aircraft","1"
"norm stewart","college coach","1"
"chytridium elegans","fungus","1"
"holy trinity church, matlock bath","historic building","1"
"i wish (film)","movie","1"
"arganda del rey (madrid metro)","station","1"
"robert berić","soccer player","1"
"wrestling at the 2008 summer olympics – men's greco-roman 55 kg","olympic event","1"
"achalpur","settlement","1"
"achalpur","city","1"
"golborne south railway station","station","1"
"villa vodno","building","1"
"madeline weinstein","person","1"
"sascha müller","soccer manager","1"
"mauro esposito","soccer player","1"
"allting som vi sa","song","1"
"daniel young house","historic place","1"
"oberea subbasalis","insect","1"
"2020 ferrari challenge north america","motorsport season","1"
"nana oye lithur","office holder","1"
"nana oye lithur","politician","1"
"yongfeng station (chengdu metro)","station","1"
"lokmanya tilak college of engineering","university","1"
"black moor (musical group)","band","1"
"natural capital center","building","1"
"izzat klychev","artist","1"
"ms winston churchill","ship","1"
"valeria vereau","person","1"
"w-inds.","band","1"
"andrew maginnity","politician","1"
"róbert bezák","archbishop","1"
"american samoa women's national under-20 football team","soccer club","1"
"ngc 7503","galaxy","1"
"jiangwan township","administrative region","1"
"humphry davy school","school","1"
"clement thompson","cricketer","1"
"optix","software","1"
"richard faulkner, baron faulkner of worcester","politician","1"
"r397 road (ireland)","road","1"
"mettmenhaslisee","body of water","1"
"the contemporary ballad book","album","1"
